,,A01,A02,A03,B,C10T12,C13T15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D35,E36,E37T39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L68B,L68A,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80T82,O84,P85,Q86,Q87_88,R90T92,R93,S94,S95,S96,T
,,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities excluding imputed rents,Imputed rents of owner-occupied dwellings,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Rental and leasing activities,Employment activities,"Travel agency, tour operator reservation service and related activities","Security and investigation activities; services to buildings and landscape activities; office administrative, office support and other business support activities",Public administration and defence; compulsory social security,Education,Human health activities,Social work activities,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",Sports activities and amusement and recreation activities,Activities of membership organisations,Repair of computers and personal and household goods,Other personal service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
C19,Manufacture of coke and refined petroleum products ,0.02235703320236813,0.01344887600364331,0.01707220694571113,0.00471848041264292,0.001709217573601605,0.000634892554136293,0.002895887973927498,0.001905128345195074,0.001281678253783196,7.81182650072573e-06,0.008017971921757343,4.342647769393033e-06,8.028725985847365e-06,0.009752178365620132,0.0002126171137859488,0.001898516779964026,0.0001858501914971329,0.0007082592552750806,0.0006212729096048378,5.16752297833011e-05,0.0002168278478167435,0.001143589146007059,0.00880060652026,0.0001130027592871248,0.001917404216109562,0.003199842856606591,0.005237978924574501,0.004793550800651345,0.01432849061643674,0.002056473051266559,0.01235787081572488,0.02611468175041156,0.008588101887072468,0.01196945176380176,0.01127783717921612,0.0007972077588478519,0.0002865548204384171,0.0006038183132607005,0.0009632925327043029,0.0003119963594216164,1.068904220851572e-05,0.00154192187337564,1.334664564077291e-05,0.0009797012463757207,2.662924585068508e-05,0.0009523906729835595,0.00225235572187695,0.0005916387429366912,0.001325220098823591,0.002700987683798264,0.007670377965936391,2.088799655813963e-06,0.005499595928105567,0.002801128885545995,0.001045336389187978,0.002096646674855074,0.001459405698171396,0.003155014232229284,0.0008081649282869256,0.001728830723872802,0.00322432924493786,0.001608906440205414,0.001811503051989073,3.558206743787966e-11
C20,Manufacture of chemicals and chemical products,0.06495473255808666,0.001709541428384113,0.001134034798122335,0.003495491872516811,0.002316686783914389,0.01768393970798147,0.0243454334776883,0.008817058875359328,0.001895224282631891,0.002665012299684656,0.0944863794789539,0.008562120960397285,0.09206706665674588,0.01217835786631956,0.003919811654063638,0.003331720360716657,0.006171854847628461,0.009327860942374809,0.003265532463567353,0.01374812271867417,0.007241066861498411,0.008092711969353353,0.002616955487446368,0.002909198381697511,0.01050884475523333,0.002034119109196134,0.003906674014182565,0.0001662490325094594,0.001098451246187558,0.001686159361062109,0.0005954885103215471,0.00016831286966852,0.0003354196975951555,0.0003951527805973298,0.0001686967979093676,0.001544346709696286,0.0100705248421758,0.0006868858638754445,0.000148619558498645,0.0003351802353528517,0.0001549505289935832,0.0004998356167419661,0.0006270961214634138,0.001587114040223793,6.048656561352429e-05,0.0001556058969170201,0.009396802830027832,0.007952059984999206,0.001347572698633699,0.0009039734401192696,0.0003578073660011301,3.564450994329055e-05,0.0002087578237715501,0.004593603516579023,0.001414452522280879,0.001644251476578033,0.003208083595885636,0.002030376711700564,0.0009661448486626867,0.001664542653528795,0.0009879015390476197,0.001906635166448514,0.00617341233130768,1.022045053864501e-09
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.004510699538334222,0.0004340577561208904,0.000707997223249818,0.0003802634168088697,0.001375586547654025,0.001096404514400189,0.001160717559317387,0.0007234620880548167,0.0004080483334900981,0.0001425688483918401,0.003347469847434087,0.008574641610435215,0.00313313867860663,0.000876834932641897,0.0006096406334586578,0.0004318722149505699,0.0006874933821423984,0.0007722975900024954,0.00262963340718069,0.0007166302004462105,0.00060094432719767,0.001412307393225999,0.0003466596435109172,0.0005555951542086104,0.000424110591923764,0.0002566711060194034,0.0004032152581537761,0.0001723883618180069,0.000479167021327197,0.0002802051932717551,0.0005021418946455321,0.0001437374754329132,0.000316438024775002,0.0002678893901976024,0.0001989023173781126,0.0006321378337941448,0.0006828902969029504,0.0003351143264485871,0.0002879710639055368,0.0004232156630330529,0.0003169644760161338,0.0003145490866700138,0.0002973221043194225,0.0004589275350476887,1.817389381441446e-05,0.0002987749637361299,0.0004643482872369207,0.02477639648047326,0.0005243935192531155,0.01335077615485009,0.0002055531511979239,5.92012062985203e-05,0.0002826965119980353,0.001082724630852053,0.00124888254724349,0.0003431928952995385,0.03081242338096816,0.0008648727314566386,0.0003753873414434581,0.0004419682971504196,0.004248454682744575,0.0002655701966816896,0.0003076500125009854,1.177963347945771e-09
C22,Manufacture of rubber and plastic products,0.0240355266618593,0.0007029623085578713,0.004182526297882571,0.001439512602826423,0.01752687595611265,0.003489644724069451,0.00133445975740999,0.02442325666325468,0.01818875775072174,9.226302668857626e-05,0.01367808620467511,0.01649615010928132,0.01727221231798452,0.003415317151963441,0.001486432139801577,0.005438608626422438,0.01016180189957006,0.01985590442316414,0.01038881196783321,0.0144516928265933,0.01405222545741496,0.0059285386080405,0.002477621423911737,0.0001547517524098348,0.0004607452772993772,0.007835713971539555,0.01031252607108889,0.0003171336992529449,0.002444509414033719,0.006418800241589014,0.007986353957126635,0.0001655251882685949,0.000317816981638182,0.009715301691051021,0.0002559340846168452,0.0008539488128488239,0.001718969409994929,0.0003210907613029056,0.0005668829791221475,0.0003845063652201952,0.0001344874536988326,0.0008032588091703098,0.001323243748006917,0.0003223573221583465,5.600986994989526e-05,0.0001958022618142437,0.0003379195504015151,0.001795236428217615,0.0002465136289717283,0.0006894532033399,0.0003253515039180228,5.154925349504478e-05,0.0001849745422269979,0.003694500513419005,0.001306495017420581,0.001098688218911105,0.002536339115017249,0.0008412428455547321,0.005597232381103006,0.0006154634074920884,0.001649055913548707,0.002722549036101505,0.0003302647480188567,5.340902082527347e-10
C23,Manufacture of other non-metallic mineral products,0.0009630228772785122,0.0003981287436402672,0.0003423376341275298,0.01072226303833781,0.006824777861276526,0.000553586094903208,0.003250652410882059,0.0007362447543324938,0.0005435793235399468,0.0002387743072104336,0.001771465931996346,0.000661173654725155,0.003972282027967767,0.01122606399665201,0.005678284542689803,0.005015823353783869,0.001023893179180818,0.00923883364949802,0.0008286470186640842,0.0006787870308790419,0.003742110058969178,0.0005113272238391417,0.0003487266231233059,0.0001488246429268062,0.000415564013896801,0.001415247673447193,0.03203233956795867,0.0002804933173995447,0.0003401117703592455,0.0005409202961810621,0.000555803137783084,6.070767626857013e-05,0.0002337934850627116,0.0002499748818248607,7.798509054668154e-05,0.001347633647335316,0.0002353563014153059,8.824123406292415e-05,6.732199540950473e-05,6.022414207708936e-05,5.519200687944812e-05,7.828518043904256e-05,0.0001075165047788673,0.0004473591379099365,1.036389079248912e-05,5.741519910356776e-05,0.0002125512922563591,0.0004868533983212274,9.070349372395673e-05,0.0001769926447407589,0.0001784307101815378,1.212938204097e-05,8.046175608316715e-05,0.0002467242064140595,0.001067417892005466,0.001419197006092788,0.0004860659840901758,9.240479716634337e-05,0.002359785076669532,0.001801018470912111,0.002371279467330953,0.0001244593680214712,0.0001026880713653014,7.688579584229533e-10
C24,Manufacture of basic metals,0.0002272331962823424,0.00162442227774079,0.0001591353544697468,0.004341342182901999,0.0005157536782497,0.001034004244326862,0.0003766930443207357,0.0003734375578500692,0.0008544446501098519,8.278634059566985e-05,0.0005087008077100948,0.001607443046791655,0.000430367691574322,0.003856449224452775,0.04989751553387302,0.01301106733186481,0.01873951875915248,0.02730532845932262,0.04256219005475434,0.03589758479006207,0.06629403669387562,0.04167977474342043,0.02062134295555617,0.001538065385894721,0.003269022644208806,0.005188674666829137,0.007143556651428119,0.0001440454107914505,0.0003531305574539506,0.0002124656517462366,0.0002113432938673819,5.373607198047582e-05,0.0004302798229996756,0.0001100578566755613,6.026232152358601e-05,0.0001118507509765733,0.0001864534334807151,7.929112324608709e-05,7.71129645640534e-05,4.229127569906872e-05,4.524334259109339e-05,0.0003459145658794431,9.493866167204381e-05,0.0003919991624204586,2.972007805483895e-06,6.18851096835853e-05,0.0008462587408191005,0.0008834012672415435,6.811647494687135e-05,0.0001060124544226166,0.0009128980897546439,1.150437374938091e-05,0.0001688109071107785,0.0004714645348734822,0.0002561096049884967,6.923523945562052e-05,0.0001022394516608904,8.099153870189015e-05,0.0009998561639471435,0.0001964939325882868,5.455126906187077e-05,0.00106743868217506,5.763769389474351e-05,3.428365397898235e-10
C25,"Manufacture of fabricated metal products, except machinery and equipment",0.002372510339265198,0.00166757757330303,0.004333659859474855,0.0096253650280834,0.003697390015949749,0.002525036784853892,0.00377378404588928,0.005227831047667558,0.01103140923950487,0.001036781714085034,0.004761195505301226,0.01169814825594524,0.006720137731069675,0.008180709164191356,0.05011501932107657,0.04340877412096827,0.02268763857268511,0.02535579351367383,0.07907174318970281,0.02343469759572075,0.04071186958570701,0.01515564989812402,0.01240427495259953,0.002892391431011263,0.001449684608626436,0.02029689281023881,0.01900992969360218,0.0009298610865708882,0.0008741641515864405,0.0009142172994685248,0.002156742893557626,0.0007602655708289703,0.01065129793231677,0.001314902909195052,0.0003342119223097354,0.0009219385349580099,0.0006840795304908497,0.0002836169736974702,0.001234192075399333,0.0003618528131360203,0.0001240781646861775,0.0005752871975243596,0.0007573443837615789,0.0003526538311920128,3.122910705908591e-05,0.0003124904258309692,0.002350755815973815,0.00384218400992595,0.0002712130604039797,0.0004743241281520303,0.00204659813269117,3.147117420545889e-05,0.0002635898305406822,0.005552638942610842,0.008631485503716755,0.0006154585985469563,0.000979472267943751,0.0005758006781495357,0.001143397771046529,0.001557071912368805,0.0003648867594908753,0.0007596134028287905,0.0004312227603037548,6.08156665860421e-10
C26,"Manufacture of computer, electronic and optical products",0.001415370581101618,0.001411280139708721,0.004025390272822071,0.005695769988623642,0.002125628984260551,0.002112939940786067,0.001650652190060336,0.001467044919909661,0.00419243574200415,0.0009890955970529866,0.002736129163062447,0.002915743224969736,0.002731785121782792,0.004269671976559716,0.002588231549803225,0.003981004101727979,0.03791238366383377,0.007956965273713144,0.006413196307750994,0.003012757209926706,0.008807151448159738,0.002429185631918564,0.009681178014740369,0.003718270254620193,0.001872535074262694,0.001247823553996377,0.002050482626798305,0.001110503920493347,0.001848874863632626,0.00152384729166871,0.002890649599611021,0.001293406150428154,0.01489953933575054,0.002732976396005241,0.001728101295626503,0.001453115341335772,0.003892063274213283,0.006336394209068836,0.006354449791459672,0.002437636874714059,0.000176599742798205,0.0005468265241125519,0.0005901666784602442,0.0001977109626222386,4.401409833610001e-05,0.0005339921686062234,0.001521595755250988,0.008331177040968902,0.000627007035283288,0.001582113770081419,0.003425232268306554,0.0006774534661111465,0.001136555802611981,0.001932919237380758,0.007722068368680718,0.002500672039080223,0.004969440495879578,0.001580847987844524,0.002711325784752368,0.002564285279878119,0.001940753149828082,0.007276796992117576,0.00181655833647821,3.495492166356948e-10
C27,Manufacture of electrical equipment,0.0004009575448745849,0.000929842981494053,0.0008841358413899886,0.001702265813159308,0.0006759464318751274,0.000753587661964699,0.0004937671255552085,0.0005493183633229399,0.000748131491435539,0.0001721165733898222,0.0005874726796224011,0.0007182176348812878,0.0006341652980530381,0.0009475274477199451,0.001055967495444324,0.004492885789567927,0.005449560999177296,0.006782412046035523,0.001537922963064859,0.002843505294701758,0.04511000727791944,0.001018872195840196,0.006133445578041653,0.0005991985340099682,0.0003180557441113706,0.001384265008150458,0.01261076901700171,0.0005079376693993754,0.001053528282626186,0.000337815151781593,0.0008518309940205494,0.0001930478965336124,0.002438640133674068,0.0003863161652817432,0.0001309377373184956,0.0004349304302819326,0.0002700033436811647,0.001423166211790906,0.0004013175246483572,0.0004246602718995689,0.000257487850302489,0.0004120700226118305,0.0004424814066876222,0.0002387501168459981,5.486442494253922e-05,0.0001273168917697681,0.0002659284360314511,0.001362406882550169,0.0001228549699688896,0.0001923169286476647,0.004000743216229164,3.310681250142374e-05,0.0002755570010496601,0.001183180706721971,0.00226022376712713,0.0004862567831936145,0.0004499022146315597,0.0006551020134038425,0.0005157005878886555,0.00182392961048263,0.0001803113757125802,0.001543883815684054,0.0001577783665569227,2.088258107119883e-10
C28,Manufacture of machinery and equipment n.e.c.,0.001899918128804204,0.0289779167303859,0.006610201577161331,0.05816179368792106,0.00718198517009174,0.01839424023180211,0.005949005749177266,0.004471600691731533,0.0128591362016031,0.001582396899547306,0.003943560872341123,0.01929775982897134,0.004051126836265107,0.01238110005727395,0.0081775902858645,0.01014649216342223,0.004670865313763459,0.05721327402028319,0.03291464240044072,0.007125418422246081,0.01269883232457511,0.005346083327578716,0.0255620130555216,0.00864512078279755,0.01040345927795654,0.006883606916346322,0.009473694500245385,0.003486717542845481,0.006156398806341567,0.004032930135351156,0.005222860742882782,0.001726225761664311,0.02467362871397685,0.002960368553182082,0.0008558109479462218,0.002146612200017038,0.001290914557888013,0.001218516778382238,0.003472166724660636,0.001252546489922682,0.0005227249246948071,0.0008041699230291658,0.000655515211684701,0.0004121957819517772,3.725746156883556e-05,0.0008792996753576517,0.001951227630126533,0.007195158733053006,0.0005944674449468823,0.0009170699353397099,0.01808051974097446,0.0001081797877205046,0.0008550854957049322,0.006789730229847009,0.001846390852507608,0.0005708440357993564,0.0012891691484721,0.001406905563565238,0.00285657233094351,0.004336060616133639,0.0009000781387088493,0.0009256365783645286,0.0009489207237365744,1.832930019203434e-09
C29,"Manufacture of motor vehicles, trailers and semi-trailers",0.0002171369991083695,0.06322590979083376,0.0002368181822203838,0.002345361534060268,0.0005320161784239772,0.0006322946837392799,0.0003653996803145034,0.0003941895087110537,0.0005978242976461298,7.64567733438636e-05,0.0004051672551810908,0.0008960928142697831,0.0004029287533691622,0.001294229030667541,0.001015895844357501,0.000992941650106473,0.0009056698434836839,0.002299559594621323,0.00238833844957305,0.004975792172480115,0.001975631478377249,0.001401266738349447,0.006126056050992285,0.0003303160726183568,0.0009190209528376216,0.002924551861521403,0.002012134338794071,0.08406302452593654,0.002347916001478335,0.001188772634151325,0.01556052912423589,0.000166067698602105,0.0006847263403186073,0.006882323222875538,0.002899925535510534,0.0001671249206329316,0.000189600759387552,0.0003805155865448433,0.001314403585693544,0.0005673170604425572,0.0008928576417610747,0.001373683682377977,0.001657833251983272,0.0003845616008380212,0.0001176600293037389,0.000997996014398224,0.001276001016558727,0.01899690201149424,0.0003139774365714736,0.0005687193163454037,0.02715149472785564,0.0004102393578880009,0.0002828516392317629,0.001781461421975348,0.0009465571388927155,0.00134277000766295,0.001138700039596852,0.002865276653801802,0.0005336437748203131,0.002004395280463029,0.0006084237830990318,0.0003778090216627578,7.35595844114193e-05,1.076329095005084e-09
C30,Manufacture of other transport equipment,0.0005685544300097813,0.0009561183250409515,0.003183918600547828,0.01131062853442387,0.001166130404713741,0.001028046412350654,0.0008362266213419307,0.0007986457318681194,0.001324393524665979,0.0005441086817680251,0.001229904785326415,0.001119026385004432,0.001437990013332346,0.002377787990712908,0.002239201437985219,0.002074640108983208,0.009141504856820746,0.002489399855513138,0.002577047756593413,0.001781528663682083,0.1065855801693333,0.001568921993425755,0.1379600395468378,0.001702181298218146,0.0006868986728120678,0.0008325541701317649,0.0008109650995044804,0.0004135737587859411,0.0006610704670405953,0.0006717178849706269,0.003065063769217849,0.01561570323203001,0.01018755642894283,0.0009571922088477355,0.0002575129232447565,0.0006440846606466383,0.0002985717214384664,0.0001659704242155569,0.0009596963777555407,0.0003005575342798408,0.0001406397849524711,0.000475344298673736,0.0002544915993187716,0.0008995611470266692,2.96378606286271e-05,0.0002732610950734508,0.0008674687112260955,0.01359173233116669,0.0002891910397519761,0.000483904486372802,0.001445560953249829,2.383552497466452e-05,0.0002689965418670942,0.0008130274972298015,0.01341288286112383,0.0001569854733878779,0.001398216035869623,0.0004273492062052986,0.001481351393346421,0.001085367713102422,0.0005684977383044458,0.0001550671013432946,0.0003091341566892219,7.959150703169371e-10
C31_32,Manufacture of furniture; other manufacturing,0.002041266621168114,0.003837240578314969,0.001836388366401551,0.001885636212450402,0.001285030949944346,0.001597142865547097,0.005693595208118041,0.001436137433720029,0.00294884766465231,0.0001532891575387395,0.001844808512099847,0.002436849557378547,0.001887599774552365,0.002148282251835505,0.001725937306199522,0.001233842198954908,0.001171928317913132,0.001940197093438126,0.001634571715118441,0.001087798651509521,0.002577723302231701,0.005153413689264291,0.003295177606813322,0.0004235698932823857,0.0007528834060027029,0.001190781627671474,0.002307483316788879,0.0008608620746954743,0.0009454725109111091,0.0003975700397443108,0.0006717905193558674,0.002326603619232238,0.00134972175260418,0.001717360252963603,0.002360268810154656,0.000714271225161376,0.001663460013778467,0.003460369394535334,0.0004771173771428876,0.0002834190918195683,0.0002144466686715762,0.001086144669481138,0.002133457137022125,0.0005544300496006132,2.73661508624678e-05,0.0004151818225541757,0.000621679913649021,0.002845702765585207,0.0001882262351489783,0.003064909649184553,0.0007128632178844272,0.0003296569848420746,0.000337805125799594,0.0006131783677755327,0.002306916861067986,0.002185708027832493,0.005644029415698426,0.001392380332302836,0.003337491971928209,0.002116530483867673,0.0007953043589726442,0.001102498519761763,0.0004255785944852246,5.918290379504798e-10
C33,Repair and installation of machinery and equipment,0.001570267487375862,0.003874234928709105,0.0158702133142383,0.02256595609987374,0.006884732846074233,0.005151149874303409,0.004691898291836146,0.003530505649146838,0.007195549125422866,0.00393419992764882,0.006466579144939834,0.004538005638880907,0.007913479169832212,0.01522010451896411,0.007458650555591956,0.009685029678134227,0.004487193096010283,0.00770366912884135,0.004885928664088005,0.004280919683854223,0.01807660386626466,0.005813847949937946,0.03829021917425447,0.01216026420678329,0.003308117788109019,0.00258073409270826,0.001041229850384694,0.002388939666323879,0.003229557405028859,0.003935158095083266,0.01084290048085766,0.005042473240095521,0.06446407401446681,0.006324636328622907,0.001425754625391214,0.004388407343140124,0.00150610446078934,0.000532521225765952,0.006976919638660999,0.001720622258805936,0.0001382515971999718,0.0002541661259872788,0.0004554850218321422,0.0001505922636676002,1.742184275097121e-05,0.001348730773640207,0.001058583831176303,0.002677438340415698,0.0008555661242954311,0.001149631566708294,0.00892101110166157,6.358564639841569e-05,0.0009209982851295546,0.003746536733375602,0.001172441095937079,0.0005518651269010293,0.001976889311520238,0.002740976746990924,0.00511208759323052,0.007385452751884062,0.00131942862715027,0.0005724986775929657,0.002073851405284015,6.364005070508015e-10
D35,"Electricity, gas, steam and air conditioning supply",0.009091743600766235,0.00335634870410592,0.006907734761240777,0.008127088816300155,0.014881481991566,0.01266748286854479,0.01781724072577107,0.03221247859666252,0.02146344687699162,0.01264778487265919,0.03394125447171373,0.006515522350839351,0.02433510860765159,0.0308535289666894,0.02358442252642929,0.01684582257376215,0.006968603058223766,0.008269966584074757,0.007346984895353808,0.005683042453281961,0.00561520658794659,0.009213300150073074,0.007169988705088274,0.5057367485746649,0.05017283923858222,0.007550143142886072,0.004065844472735307,0.004495838271856064,0.007883921222843095,0.01905811849434899,0.00759497166287369,0.00136631397731413,0.001864047145689902,0.007107484578666143,0.003796198363469192,0.02303828282836097,0.002856180244973174,0.002693447247084423,0.009984141352100448,0.005812078865114611,0.003651477959207061,0.001698625749268815,0.00840545409680123,0.003862766063216467,0.00606429208012725,0.004095562926877697,0.003512009980636711,0.00457073744490301,0.006477561304937719,0.007521122253241783,0.003390221184995525,0.001117555699618225,0.007651044906979071,0.006930591912586899,0.00638844838776811,0.007042591435556207,0.009977045793059348,0.007930656543326394,0.01000875037571511,0.01909403616635617,0.01058545529855354,6.034183610742315e-05,0.008603741671503597,2.040917302003405e-07
E36,"Water collection, treatment and supply",0.002335672025885382,0.0008203102730929292,0.001737797753070156,0.001938928490299608,0.002515769811362483,0.001199187046531105,0.002805774984866201,0.003130264886935264,0.001586773108359449,0.002548135206638668,0.002926028298412974,0.0008283131511696314,0.001121864919260683,0.00234379252676866,0.001423153079818125,0.001343717330230164,0.0005257452774948794,0.0005811085921986467,0.0005281761633492496,0.0002987913366473196,0.0005949237209943332,0.002164024667085433,0.001282125036199906,0.001489058645454419,0.04766508388437388,0.008369065229385969,0.00065750535193869,0.00151806002359658,0.001105184154602502,0.001935012585210078,0.0009305172795511467,0.0005612583551134091,0.000188042038502642,0.001364079488042933,0.0004103857534125961,0.005673480240671794,0.0003217060714850362,0.0002164363355865222,0.0003194185209250996,0.0004131450680487036,0.0001285392142940921,0.003659198335577736,0.0001335300694845822,0.001381856654358694,3.205317742962005e-05,0.0006786233431610036,0.001070789179287107,0.0007258347143618671,0.0004939249094864509,0.001233268748787838,0.000583712433899016,0.0001993887606852345,0.0003873926312663133,0.001079895042950523,0.002047881779192763,0.001605501527315844,0.001302870748247556,0.003162522308767282,0.001770089029567763,0.005849349142892377,0.002183946295521151,0.003004398653918086,0.002185758375165424,3.850555958785188e-10
E37T39,"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.006272970233060473,0.0003911691673948286,0.006075445136895865,0.001492569875979781,0.005623034712854823,0.003330345591695398,0.004498931111054029,0.01215602346509507,0.003296631619485462,0.003333173517261052,0.006240564956558492,0.00270512694996835,0.002409552595501836,0.002907697661189625,0.01680838092688225,0.003455981603892481,0.001677908232792503,0.002399651167961969,0.002930429592023464,0.002322855830342634,0.004052137217184762,0.005205036244852082,0.002980816082838088,0.0004243820986171036,0.009309775739046757,0.1255857445611305,0.00262214676652836,0.003836763958846562,0.004560393405710707,0.004315277316779648,0.003410845186195913,0.001159318503076639,0.0003909023322130861,0.002666334737848358,0.001831191374766217,0.005861403101902917,0.0006016443067117363,0.0006788695588186249,0.0002957513106864952,0.0005285691878670503,0.0002941273546225718,0.0007481487734610251,0.001922631093986048,0.001503260276501493,0.0002689030856860673,0.0005690175272852345,0.001189274753517991,0.001103036378003399,0.001062286249283731,0.00209951180146566,0.001871736809443459,0.0001732914816246344,0.0004785984629529239,0.002467034684550984,0.01430880035554408,0.001892977782522997,0.007688628307227531,0.002010906823193086,0.003784886692045243,0.005562027113255769,0.00162263009521273,0.004548738333154691,0.002417235851208757,3.512991742239445e-09
F,Construction,0.0095313622967837,0.02662660895840692,0.0006211775509799806,0.01697032644913462,0.001217991381653837,0.0005895829885121922,0.0004642374088451573,0.0005813395855233815,0.0004962102409177548,0.009912214208903982,0.002028999258872245,0.0004511172774899991,0.01161104989383023,0.007116900346954873,0.0005523424377401958,0.005480514385023885,0.0004007158860748615,0.0005920536426782418,0.0008901497560985053,0.003223462830970161,0.01095092633250845,0.002441095343498426,0.02407468648663075,0.0312991474211505,0.02536845677767666,0.01719381457971629,0.2928247715084329,0.002262843613397,0.01851835039977576,0.01061027959186901,0.00119842537916765,0.001510433797232023,0.001442027882803367,0.009202953028126116,0.001565458543400547,0.003725521569392579,0.000818483227442861,0.001078802389844134,0.001719713719356207,0.001353446653661714,0.008935847363475996,0.03025577556168042,0.002961634811709239,0.09699224783762894,0.04522211380095414,0.01374961028211362,0.01406949728207244,0.001625035063393657,0.00252575464048526,0.009632213073060126,0.004395993401961446,0.001048082647505386,0.002615749968514766,0.01020300108111385,0.02969095664845467,0.005176941844834008,0.005756797842019038,0.004365961904838765,0.004549628131470317,0.006217911748348621,0.003503747184339593,0.0002652599598360614,0.000296144225849491,1.984207330608724e-07
G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,0.01263216711603663,0.03278639053009661,5.406755601540826e-05,0.002373734324655459,0.0004976056459750466,0.000637827275177263,0.0001988456425509644,0.0006842618546539388,0.0006757527628244156,6.755235444333818e-05,0.0003568550258768442,0.000829968691644035,0.001604260406399482,0.0008905811999403944,0.0003292746104720493,0.0008090350956638675,0.001872014155039325,0.002339123163856053,0.007961315874436829,0.06655665764597163,0.002595268737652051,0.001016664570606425,0.007171710603472631,0.0002072292136468485,0.003866727222810224,0.005987693123118695,0.001291673386368839,0.09374676115211712,0.008206162135064692,0.007072106544102578,0.02691509837988599,0.0001958345009558293,0.0005349013811851223,0.003011159382711378,0.01291654402253688,0.001472496343036765,0.0003894997514672169,0.0003612823120703388,0.0005591549452452054,0.00129126038808344,0.003000904281389335,0.007582146280307547,0.001627035154779987,0.0003295187758956806,4.387654902776436e-05,0.001188268412263112,0.000389090087388519,0.0006178071071417418,0.0003997102886880654,0.0001997676071995621,0.04507768124819714,0.001751705131867082,0.0006434927884615269,0.00152189835021459,0.002203836135382026,0.00183025108637661,0.001679787521614691,0.002885390933157334,0.0003500999887569557,0.001756431407420211,0.0004836368377816618,0.0016965892649901,0.002835240056849236,5.960049068983014e-10
G46,"Wholesale trade, except of motor vehicles and motorcycles",0.04514716068986511,0.05986919533370817,0.07580060415990177,0.02726643352483627,0.05934500392121405,0.07345804818603069,0.05013772279508966,0.06033056437735337,0.05256474177070383,0.00682919300214218,0.05084865530411706,0.03253356861735468,0.03178018579540666,0.0449969282809075,0.08312448451047068,0.05544217955602165,0.04659628344298776,0.06944466644235534,0.06551700429701023,0.04752859984647344,0.06075458049662694,0.04897846348446368,0.02955513224915493,0.005511382229554473,0.008238716936084427,0.01052173780837421,0.02851913308396546,0.006110340453846675,0.01331343173065118,0.006612798532064456,0.009147592757518596,0.007146905436566618,0.0110382371112646,0.008876256866110996,0.005144765963971883,0.04725027720494428,0.03722921363551467,0.01691706555487953,0.006444630334220087,0.006726232290484913,0.003418213601558983,0.003883758768250905,0.004974958981859027,0.003923468968809787,0.0001743177259009246,0.003124241100095777,0.009583613890574477,0.01493439941759006,0.004296361009593242,0.01432412636145644,0.008078035267046202,0.00418961197930917,0.002196579373783412,0.01060069405913849,0.01603216393325238,0.008895609876529298,0.02657808800519235,0.008098612584018405,0.00810305117147505,0.01288140694671474,0.01444161932939275,0.01463109482306383,0.0106811537825058,1.321178494184196e-09
