,Support activities for mining,"Data processing, internet publishing, and other information services",Ambulatory health care services,Primary metals,Computer systems design and related services,Apparel and leather and allied products,Nonmetallic mineral products,Farms,"Federal Reserve banks, credit intermediation, and related activities",Nursing and residential care facilities,Pipeline transportation,"Performing arts, spectator sports, museums, and related activities",Food services and drinking places,"Forestry, fishing, and related activities",Plastics and rubber products,Motor vehicle and parts dealers,Water transportation,General merchandise stores,Textile mills and textile product mills,Food and beverage and tobacco products,Insurance carriers and related activities,Management of companies and enterprises,Fabricated metal products,Paper products,Motion picture and sound recording industries,"Securities, commodity contracts, and investments",Computer and electronic products,Petroleum and coal products,Air transportation,Truck transportation,Legal services,Construction,Other transportation and support activities,Administrative and support services,Hospitals,"Miscellaneous professional, scientific, and technical services","Motor vehicles, bodies and trailers, and parts",Transit and ground passenger transportation,"Electrical equipment, appliances, and components",Accommodation,Machinery,Furniture and related products,Wood products,Wholesale trade,Housing,"Other services, except government",Miscellaneous manufacturing,Utilities,Other retail,"Funds, trusts, and other financial vehicles","Amusements, gambling, and recreation industries",Oil and gas extraction,Printing and related support activities,"Publishing industries, except internet (includes software)",Rental and leasing services and lessors of intangible assets,Broadcasting and telecommunications,Chemical products,"Mining, except oil and gas",Other transportation equipment,Warehousing and storage,Other real estate,Food and beverage stores,Social assistance,Educational services,Waste management and remediation services,Rail transportation
Pipeline transportation,0.0002119939593662839,2.00633767540208e-05,7.0695004728362365e-06,4.205097101709389e-05,1.9927622609498948e-05,9.739358408705563e-06,5.6395666835456676e-05,0.00033199113037376545,0.00013115785907375445,3.181514226005432e-05,1.1385278465669835e-05,1.2543647836647273e-05,5.168643103630269e-05,0.00017131997059760518,4.9547223775408555e-05,6.328912914999743e-05,0.0005930214238849392,9.50984482177008e-06,6.194242133716768e-05,2.569144031139896e-05,2.1712595852685128e-07,4.252403179692088e-05,2.293224275171115e-05,9.538746127411344e-05,9.106215317881482e-06,0.00010103536499894517,2.074055493380435e-06,0.022471207748236428,0.0008309923689984856,0.0006774074277489456,1.973467471966883e-06,0.00023467723220366274,0.0010631420767966695,7.227450478832322e-05,5.224103954633676e-05,1.2009206734477656e-05,5.4307053692412865e-06,0.00031680753579828297,2.984332614009934e-05,7.529474963262898e-05,4.68295101259582e-05,2.9183987398944568e-05,7.3956861795142e-05,4.0010002805492294e-05,8.294453476875872e-07,5.507920820457854e-05,2.514770864168157e-05,0.021032124490694668,2.16826658922772e-05,5.141708876173872e-05,0.00011463709373988195,0.02790942847124123,0.00021312062497326508,1.1872939666358495e-05,6.949790147584222e-05,1.0081829175541842e-05,0.0003955604123866324,0.0005565884133361378,6.445820830281436e-06,1.8036561568749454e-05,6.299355622260518e-05,4.1453239464726366e-05,3.151472360054732e-05,2.980677770343184e-05,0.00020547341933743632,0.0012268851201361491
"Performing arts, spectator sports, museums, and related activities",0.00015632264083911582,0.0008139238759524918,0.0008262402562269076,0.000253804307199055,0.0009181209539497784,0.00012023246709092492,0.0003060210196135596,0.00013755474867811456,0.0016530744322639018,0.0010601105650779026,4.5937868284818615e-08,0.12287790289198475,0.0017524455719994051,2.713925418011603e-05,0.00035327336332673353,0.002576543427644635,4.3153395849246105e-08,0.00025894186825263434,0.00019345111311361147,0.00017345759189101078,0.00025914226683254854,0.004953419199093587,0.000239894645897792,0.00022238550713139102,0.05186905188648009,0.0012755245375011375,1.2584351005854812e-05,0.00014949467872051565,0.000296085577136531,0.0004055284220581788,0.0020894178984234247,7.781521198731767e-05,0.0015440772164319494,0.002388922190007713,0.0010770156493376641,0.003253987922161273,6.431119236411234e-05,0.0002488962877801616,6.006166814512878e-05,0.0009473299205230618,0.00018352677261333368,0.0002453140252115942,0.0003055033652142929,0.0010952634644485187,6.797463175513113e-06,0.003705659278030817,0.00024185391484885484,0.00019168319658915096,0.0005425977174244879,0.0008991855212023477,0.005905156301415698,3.09131732161706e-06,0.000403762829426265,0.0006917134385126005,0.0008375075638335876,0.028981611174512294,6.797469289134603e-05,3.8980826535029785e-08,8.62910784789563e-05,0.0002344013887053953,0.00455441246135269,0.0024366356034580157,0.001353243207653932,0.0011065456362984278,0.0008191617559190522,0.002774442438129039
Food services and drinking places,0.003044267535003326,0.005639157861485711,0.019820760471478623,0.002566579840453034,0.006766544807313983,0.0006464197821818912,0.0017871343825490496,0.0011724948864190645,0.008512150276519427,0.03881692386367493,0.0005420499580517733,0.003540341505181708,0.003690928357390266,0.0007358492855654517,0.0015890578680550188,0.0037893282765095156,0.0005232584570023387,0.003383214702447936,0.0009114879685750043,0.0008533527740547198,0.0030885379765938662,0.005316312501129946,0.0013751837119701494,0.0012851415515203152,0.003127150282568182,0.0062156353747953785,0.0001355755256843322,0.0006986241245385074,0.057935923115031276,0.003998647590323234,0.009332943529237471,0.00026417170683878136,0.007205076014388655,0.015631394381749524,0.014690299167443641,0.009498193579435543,0.0003418924330786298,0.0018291971985711821,0.0005039809898998289,0.035499962209556056,0.0010329600531840263,0.0015910499291236435,0.0014993060309064804,0.0026170003486344065,0.0013445992514798954,0.004716815380131408,0.0015373345404562386,0.0030654473019974308,0.003545383130033273,0.0036951325756987147,0.010907978975092226,0.00010738044529538804,0.002325188763260928,0.0016908961082403966,0.0042663237821471975,0.0022191339667735283,0.0004681672549906,0.00042863585391389545,0.0004872985530115495,0.001384664031193302,0.018055827560134952,0.004282212557231688,0.009760914554096264,0.0041514755198063715,0.005291746621496492,6.291508699065879e-05
"Forestry, fishing, and related activities",1.7024663519342115e-08,9.066448402457031e-09,-2.0430795370408183e-08,-1.1657511277461432e-08,-3.008996087701834e-08,0.006555314496098331,9.32610538810769e-06,0.05321771201025645,2.6250936380331144e-09,3.6557290690619796e-09,1.2509278841662762e-08,-2.6505700189004357e-08,0.0035633906138231647,0.13749493970254612,0.005981038594155614,2.8829391196058803e-07,3.8302530642257986e-08,-8.185561977139485e-09,1.5901314258961511e-06,0.006893782046953044,1.2332267195388228e-08,2.2447004519242833e-05,-1.1084870179839984e-08,0.024914918626140547,1.3682906289083303e-08,2.3634281344164067e-08,-1.2634288297619364e-08,2.3264757467364056e-05,-4.427647043012608e-08,7.17264878796006e-09,7.667081711294851e-09,1.1918091891406169e-07,2.5081417600026332e-05,2.198583411179369e-06,-1.1104011825743788e-08,0.0001433058071963766,-7.811193277636193e-09,-1.9547831679598684e-08,1.4619991979939372e-08,0.001789432416951257,3.211816829428546e-08,0.0004315567247203737,0.08833436517446501,-4.261233248343977e-08,1.6444277086769023e-08,0.00020709148844093905,0.0009436313332126963,2.6773360256768644e-08,1.2536502782040853e-09,5.124371955375769e-09,0.001386931613019532,-2.48536509240286e-08,0.0004428896540859698,2.2207916220045014e-08,-1.7369152530663253e-08,-3.1727460941294815e-08,0.0005856432579844287,0.0005786081666258433,2.611201113854376e-09,3.719678229181558e-08,-2.260509797476495e-08,0.0033771542516167984,1.0892467731359512e-08,0.00025016400186185424,-2.165839643729114e-08,4.3578502692728634e-08
Plastics and rubber products,0.007113582174853869,0.0014972539266111151,0.0066220888708083785,0.003996359839830528,0.001032600573637266,0.0049787246954545936,0.010702761446610549,0.0035048929123042217,0.00030419546456249145,0.005597107850880678,0.0012119109487387645,0.0001544771061482704,0.005856043197784586,0.0018320051308594897,0.07332868675694992,0.005290516496291817,0.0001439413688281137,0.0015568345102221846,0.008925078358064623,0.01912312745114685,8.881428843208424e-05,0.00044193765779794583,0.0071347220782498316,0.018113705415337404,0.0005886209698845099,0.00024673183030887513,0.002559282144831556,0.0006854899363599666,3.3935877923276685e-05,0.0020990338341454,0.0002005116941946403,0.015609996891668613,0.00989330616597118,0.0020573724514760003,0.003799902506291351,0.0032701134558642733,0.039733101685641765,0.000435085934608642,0.012525344110367391,0.0008573546799399838,0.018160790155303502,0.05078872624802114,0.006675596478855049,0.006245853659298629,2.200645830686897e-05,0.005311305996482781,0.03439600348345058,0.00012184460002740833,0.005107750280373479,7.652855449150126e-06,0.0012197797045807302,0.0003610716399044292,0.0074610747281714015,0.0012554448894494346,0.003582775103516771,0.006434071034908833,0.016557782071923988,0.012067811692512696,0.010206053744742677,0.003756694670870804,0.00031717813031879475,0.00833935232700312,0.004863512958213435,0.0022875072052572364,0.0036870413922306397,0.0001750402728004744
Motor vehicle and parts dealers,0.0006619631802532175,1.4233215736153174e-05,6.4753630549143876e-09,0.00044693897699059717,1.6855116861679693e-05,1.0742323510772937e-05,0.0012533891228336286,1.5560090121967943e-05,2.0385076098900946e-05,-9.825976308934724e-09,1.4574436851753314e-06,1.4383775426779486e-05,4.629775709321598e-05,1.8271370884234726e-05,0.0005044039053975848,0.001832220111647409,-1.3799036995557266e-08,0.0001850855129081079,0.00037950512258569385,0.0007202800820022157,1.3027870159355353e-05,7.486442458114774e-09,0.0006196704020375287,0.001410612781339595,0.00014900182325612387,1.1500605840506635e-05,8.488116548773001e-05,1.6135682690073246e-06,3.473947441100783e-08,0.0016170807316623033,2.748204529939494e-07,0.0009835234723111627,2.660553442223373e-05,0.001103388368971634,-8.771038505748438e-10,0.00030668917129008706,0.002400864687042089,5.169931568623841e-05,5.023313615663215e-06,9.913968434032375e-05,0.00496016374869416,0.001064218946284284,0.0009814463604654329,9.483496802977773e-06,2.183566533856035e-05,0.004932747025863508,0.0010862105990939231,2.989922246616897e-05,0.001312346723423866,-5.963305356467402e-08,8.434739633793285e-05,0.000277846638254954,0.0006384446882176741,0.00016881408813426685,0.0005370774136707285,9.3258094575148e-05,0.0005144005127744488,0.001393788477630162,0.002004687860535413,0.0004963094526761633,0.0002519220815174812,0.001744210868392267,-3.2505422282310385e-08,-2.908506741723769e-09,0.00030700837922073657,9.884530813850171e-05
Water transportation,0.0004652494423644616,2.108580959405416e-05,0.00017267659581493317,0.002233256293096831,6.9495421418742875e-06,1.225632366016647e-05,0.0021719815001518955,0.0014010675295414196,8.173764405776312e-06,5.722369419949654e-05,6.270069693163062e-05,5.217320507042761e-05,4.907895394009339e-05,0.00046652065858430097,0.0007370220916724664,0.00012431400954064154,3.902416105727724e-05,5.1099926640632436e-06,0.000534351734621259,0.0011024796299668252,2.977471959795013e-07,6.777676828699011e-05,0.00035518043797826154,0.0008258486762641559,3.5324988827109076e-06,5.4038153146028885e-06,4.1428557339564864e-05,0.00012378252349736337,4.557735016193595e-05,4.705872839760059e-05,3.2631567194499696e-07,0.0006842311731895713,6.777395183368379e-05,0.00015616149484733806,9.36422406324348e-05,0.0006238142531114398,0.00011160933903338848,1.7423081360814386e-05,0.00043217951487795953,4.086186249835175e-05,0.00015826846497868618,0.0001960578733424344,6.20374052824092e-05,2.331608860299217e-05,3.8269144659495206e-06,9.120043188213598e-05,0.00028728336434759836,0.0007447041894489374,2.136154593917922e-05,2.58331664730826e-06,7.626692204037601e-05,0.0008531876391263996,1.7614890297725873e-05,2.8344075772513903e-06,5.2047685578207816e-05,4.808059497518703e-05,0.0009306875081721985,0.0019441586301426573,0.0001000909671186309,4.1596684849292635e-06,6.966617466227029e-05,3.514614546546133e-05,9.468143601005583e-05,3.960191338162108e-05,0.00023190105220568765,0.00016953541308136966
General merchandise stores,3.870580300671813e-05,0.0001363553382997821,4.078206804284729e-05,3.151064501733166e-05,1.398207385381291e-05,1.3243090596990776e-06,0.00010718871530739088,0.00033466392127267004,5.286663373697351e-05,2.259054917729063e-05,1.3619573656453031e-05,1.979611591514846e-05,0.000592158366953774,6.683873260537287e-06,9.379261747785148e-05,0.00026154327314098817,-1.4904767243994228e-08,3.446504464454936e-05,0.001398599903323384,0.0001343643050410135,3.0917249199849056e-06,1.007096042419483e-09,7.146678790242899e-05,0.00015988719236312017,3.982278816282585e-05,8.149616955659239e-05,1.1651826329441978e-05,1.9547502607607485e-05,5.910919199570891e-07,0.0018004405510679913,2.1135475133625078e-05,0.0012420966867991562,0.0004207771266793619,0.00031271890153685246,4.209421064518247e-05,7.184538586308766e-05,0.0002480221481606409,0.0007268043193326944,7.664322875863651e-05,0.0008219435206423537,0.0003699314772806686,0.0007744021623594674,9.073207660212747e-05,7.821655987542869e-05,0.0003297437221271556,0.0008243401118496331,0.0005026759312479744,0.0003121948609187094,0.00024393636130802125,-5.7208765107389915e-08,3.749064700924364e-05,3.273632176201006e-05,0.0035520916433836288,2.062995896385058e-05,6.45122963607673e-05,1.0252009084897485e-05,0.00030076202701807435,0.0001000026160750695,0.00011770242056855549,3.204178776954534e-05,0.00024820021797214046,0.0002652541247519505,7.164215555271706e-05,0.0003095107226717279,3.587628175115793e-05,0.00021564920028201002
Textile mills and textile product mills,6.136125413269741e-05,7.340102488133221e-05,0.00020323122182322638,4.175574954752193e-05,2.6117432573536155e-06,0.11111224541091093,0.003305613392856225,0.0008442826646328738,2.242860423541795e-06,0.010222814852258445,2.2452335894143525e-05,2.313227871526081e-05,0.0003200687848632638,0.0017396001831802867,0.0115258803430024,0.00040689920123110985,0.003433593797110705,0.012975285886149136,0.1572474553096873,0.00022694940785582206,1.4617587987776042e-06,2.9150279151308863e-05,0.00012328131326985132,0.017360838065653028,0.0010119864147359974,3.887656751342667e-06,2.3105298144769625e-05,0.00024984413707036687,1.9140602544154896e-07,4.2186840539787416e-05,3.697401757644285e-06,0.0011735254121796148,0.0003696768005290518,0.00024845940603029497,0.000693915525374948,0.00020418340538695182,0.006061054720519646,4.6243227251811466e-06,0.0001067675283103906,0.007805361140590239,0.002750492382548546,0.03609412939777025,0.0051055522786602895,0.0012659316170172091,8.38213572210038e-06,0.0012691748319542634,0.012956804727529359,1.5403362451712843e-05,0.002183112311536133,2.902916036218834e-08,0.002620418735665289,9.277053018892404e-05,0.004260343031242301,3.46342725132252e-05,0.0005290338406704776,5.577603194827153e-05,0.0011156176315282199,0.00014966531494989028,0.002301869693063771,4.388672317052791e-05,0.00020273359294145152,0.0007483709103795187,0.004799511312475583,0.00021261809558014574,0.0011718295630707858,1.7388121792057993e-05
Food and beverage and tobacco products,5.5377191905594994e-05,0.00019167592064288429,0.00012612456358650163,8.103247812005308e-05,1.3343834499681285e-06,0.0379146941952034,0.001817158940263011,0.0848527665284306,1.7788765594856773e-06,0.02368752703068189,8.57283758831951e-07,0.004286724118763013,0.06600572608331544,0.007496369300985306,0.0016461091761363626,3.764476801369548e-06,0.010991751253477938,0.0006883469607656386,0.000977483809449763,0.18145733962747768,7.011096077340822e-08,0.00018186835256867606,9.530177984655248e-05,0.007219134038089152,0.00011689501987812832,1.4230876195494206e-06,1.91751946546268e-05,0.0006733250339621965,0.0034180146736683624,0.00016744170335807033,2.0792642431308854e-06,2.941592957765501e-05,0.00028198345308654075,2.960710936525047e-05,0.007792492041796869,0.003005116626823525,6.638167081324096e-05,8.928556786032488e-06,8.197015989674041e-05,0.020814054888387085,5.15704396251596e-05,0.00012037643057170856,0.0004041958197827136,0.0007390955092399107,4.2330293753817075e-07,0.0032488264895103912,0.00020702461864270219,1.7862959877936635e-05,8.054288057824196e-06,-5.197430510571244e-09,0.02735690019951469,9.072928591961103e-05,0.0065146118262279,9.93372783223973e-05,5.397027635836667e-06,5.182415634024459e-06,0.006942134109258593,0.00012115654178534912,2.1834485403919314e-05,2.191869867373391e-05,5.465723348905825e-05,0.002299736481110149,0.04369292718580197,0.014778437645827354,3.452186666496549e-05,3.863695458374674e-05
Insurance carriers and related activities,0.020654777155880516,0.0023390209872969684,0.004959932293135601,0.0032838416434844385,0.0022476801112612547,0.0074895642840012685,0.008635844527359177,0.005944246024321622,0.012843031226205571,0.0052576644410921285,0.0032894623704958982,0.010409660617479772,0.0037073424704096468,0.01756357521168944,0.0023134216196413963,0.011407498984577245,0.006439015239301257,0.005155740304176535,0.006592949083520523,0.0034706873848787986,0.34272578067710424,0.0004398722348496591,0.0025023694256691986,0.0017908673937568882,0.010278971183334179,0.02716017407151911,0.0008555055866440491,0.0005852475609731309,0.0004810701900434876,0.020779106811845003,0.010944211060414868,0.00025001474152180057,0.006631743032175081,0.008418317297791586,0.07862381540035156,0.005102399774142268,0.001950534005314522,0.03171779159933127,0.005976131936409289,0.005911000431541917,0.003792260813871551,0.005321302748892725,0.0019366173385641718,0.01356988876823961,0.0060009754760925686,0.006004223825557643,0.0037435652296242813,0.0016092626021550998,0.006694840568423967,0.04494294075184679,0.01064187783221622,0.02645831975137656,0.0010102477649780745,0.0016294374982848306,0.010040498313043192,0.003382462998360672,0.0032450929941969784,0.019295082310478787,0.004550825874114315,0.012268287880348871,0.033178161882388035,0.005833839588880652,0.01993232486456015,0.007168509437382025,0.010211305746893223,0.00046907602969264815
Management of companies and enterprises,0.009116616231654523,0.00236117081730859,0.02412504615584633,0.006723066930131924,0.010229945207899466,0.035882111812739245,0.014913195871654291,-3.2001890163175864e-08,0.005858839885445099,0.016311109503845747,-2.3287121002855925e-08,0.013705150012915458,0.08034593431258015,-1.3454296715679618e-08,0.011456939048511972,0.007305889301302577,0.01852940134352156,0.08400699165906415,0.021267627426801997,0.028687041730511613,0.0018142541454745605,-3.4411674620926647e-08,0.026222569434734676,0.01642919239653344,0.003751411536341385,0.0215031994804207,0.03779882700187027,0.014267607718156803,0.0016134755365373955,0.023526612495994338,0.01909897711953284,0.0047661510006819525,0.015404885077864328,0.04889134010871477,0.010178389757118931,0.0211185110875763,0.01935351455487571,0.008273628349603435,0.01069960916913297,0.035316497496021414,0.046815023640054514,0.008102825549842712,0.008570721625270616,0.043430374398105986,1.73465272974558e-05,0.01327157319467913,0.02126842717920291,-5.692118809761207e-08,0.025051466219208632,0.002393032553046282,0.012546776281934492,0.0381097363061844,0.00988919493461027,0.015659553391219015,0.015563988944123816,0.0027000584705606898,0.03441072425784654,0.03626110131149344,0.009665442594608102,0.0038539889698577133,0.0017946788014058105,0.01463502489327237,0.010700512068984428,0.0040089629853378005,0.030364692168481294,9.954890816043064e-09
Fabricated metal products,0.012055549370787979,0.005280168582840665,0.00033122243348115515,0.03410655704928808,0.002057468643485861,0.009564966026372964,0.024046368600520784,0.0048064467241877955,0.0002361761165769969,0.0001884404124495493,0.014517502846545259,6.205433258696097e-05,0.003457669236177113,0.0022961560908382047,0.031812359440409894,0.002618969434044863,0.03553637292980079,0.00040650376158488463,0.013776861503400873,0.017211753827798174,1.3332775689029622e-05,0.0018570552240222066,0.109307310007853,0.03413208525604683,0.0003796814565200803,0.000296019555513444,0.01072067297706337,0.0010505002528454633,0.0001815508274193849,0.0028528106119692265,8.528337717539403e-05,0.04948324805780812,0.006030278574864636,0.002978099128484391,0.0010791163478288568,0.003130502251817809,0.06795389238193117,0.0025669732694228453,0.06461652527549132,0.004346374397603197,0.07596318343249044,0.04371577909608085,0.024453462974450318,0.001463197585251632,2.965862656524779e-05,0.0055488821428997396,0.034791168629321426,0.0018049395550615282,0.0020900993633814207,0.0001241291420749242,0.0031945004227045977,0.016526719953163554,0.017293319898338568,0.002813388162670836,0.0026842754512983,0.015289525280856609,0.0139684035995641,0.011577081917300348,0.03922845921047393,0.003935492187679374,0.002339662410776964,0.0009614481281352694,0.006806437685414629,0.002728779805719997,0.02132357807955305,0.00610962921499903
Paper products,0.0007483576026111997,0.0010225993476587329,0.001146877149823736,0.008393050759409127,0.0006459958634526345,0.002512597714183269,0.011257248468502436,0.0010938774234904847,0.001760675771912829,0.006369060005289165,0.0004307383699330847,0.00035590931721892887,0.003298868293906089,0.00010787168062953404,0.01911919384409741,0.0006925246895206256,0.0001367793763202508,0.0012688776078004789,0.009013134766524735,0.030471523647571375,6.913137008965692e-05,0.0014645894104304072,0.0065053493461942405,0.20510151399483054,0.0009650251894211877,0.0010234576789906742,0.001185913100018628,0.000480357414438133,4.758313698673671e-06,0.000411711003171288,0.0010916799720320084,0.0017818824450591567,0.011980370283049428,0.0031985471541815785,0.0032128289481829784,0.0019106228326412364,0.004532395883398752,0.0130250102134282,0.007328688691095908,0.008522087708140964,0.0052367069278651795,0.01489174539865554,0.0053600591491635655,0.003360809846023116,1.5444037887569215e-06,0.002092987763615605,0.013287382726933238,0.0003962009282664504,0.0020254578718771144,3.089339886551158e-05,0.0012240056315128305,0.0002349330249130331,0.08386246383919423,0.0045275596937563185,0.0016968980185057675,0.0011653648888947784,0.009690469526320295,0.0019085782820100032,0.0021606155994034946,0.003317258952015717,0.0012415164942978796,0.00500084765979219,0.004804188206659846,0.0011558183748621234,0.002536673529090544,0.0007467375482638794
Motion picture and sound recording industries,5.996421804596019e-06,3.213637110057531e-05,4.50646738625345e-05,2.342642524701781e-06,4.152370285692332e-05,2.235529471873103e-06,2.3679026899995405e-06,4.7644535123103954e-07,3.0917964964371337e-05,0.005557211519787579,0.0011760760594618548,0.0009252381579232996,0.0020145393600880575,1.341757331103392e-06,2.732049409835453e-06,0.0013972431206287395,2.352303935974488e-06,3.970364355167922e-06,2.596559536534281e-06,1.6765364790942068e-06,2.4436990026121045e-06,0.00030377042182838274,2.9958443855423126e-06,2.016528969975642e-06,0.13309038846427246,4.850234829804125e-05,7.132330131462355e-07,8.388582302643844e-07,1.488838553962204e-05,1.2808392604392627e-05,3.163497227449547e-05,3.296501150472308e-06,6.306517544646848e-05,6.473260323430756e-05,2.1094572214813637e-05,0.0013916205139935785,6.462477817264614e-07,1.76221714263546e-06,1.3393439281160282e-06,0.007092013651531831,1.534225292113379e-06,3.5133711033870377e-06,2.884005061247151e-06,2.1112226983498492e-05,6.765675787013762e-08,0.0009211771364486623,3.2065561498655787e-06,2.2165657038042102e-06,8.65996669311051e-06,1.5538611821713146e-06,0.0003214102239784772,1.8761528017690537e-06,2.4397283207313104e-06,0.00011884732814720939,0.0012313855154748078,0.055956509917329235,1.5581247849290527e-06,3.0600463642373738e-06,8.881221704451564e-07,1.3429283240040873e-06,8.664822924543417e-05,0.001122939859384083,0.004846764118108443,0.009240691504184174,3.005957672247618e-06,3.2568736510077113e-06
"Securities, commodity contracts, and investments",0.05296971005354915,0.0005115639604760491,0.0019211040204740624,0.0043473637726420865,0.0011187247970099682,0.00036577945319650154,0.0008495033633958907,0.0007037471569825182,0.0413087918392753,0.0025269736662278373,0.001194640833172758,0.0020102157903871807,0.008862813853924456,0.0007215467093170597,0.0006317172263407906,0.0010716852376637556,0.13388386367551072,0.0009978218362574594,0.0004464040488902082,0.0003883111639445173,0.0067686913622961465,0.015343502359622153,0.0036992432975462616,0.00026289721492738183,0.0020177196033113872,0.09115799654554436,0.0001917598131414644,0.00021186775220409098,0.019486574873732496,0.0036642305147640336,0.003248376805742185,0.001219178522664133,0.007432446398382871,0.002617774566211836,0.01094869143551508,0.0023224768266754464,0.001310108766412423,0.01755010169850314,0.0018032994315122161,0.0009691758447037992,0.0032055898855297693,0.00483230965361946,0.0004618064787613375,0.001591243209035469,0.0016557677420176596,0.018728918912398945,0.00408462616991239,0.0014596251686054141,0.0013974426925622435,0.6077401635068094,0.001073468523466285,0.001153325728456317,0.000619988862341184,0.001326659271183608,0.003676167440818833,0.0008237503835746755,0.00014779696110906644,0.008622981961045351,0.0015677429263403274,0.0006274725628337589,0.006032187787260703,0.0014444925399041473,0.00910876682359667,0.0010988766097726195,0.0006922459261872202,0.01104407262694945
Computer and electronic products,0.002768177176228531,0.01389517265870428,0.0073814842562900124,0.008832479381314236,0.010348966213097726,0.0046925417791396145,0.009964818526397393,0.0005379875432370384,0.0008058593249663735,0.0009231009695165644,0.00010851358874583786,0.00018194015976078773,0.00014408169912538162,7.576797992752986e-05,0.01113230335693153,0.0045167071845755155,0.0007169500869402405,0.001728130601627478,0.013757682220034888,0.002741709233679951,6.336030415414942e-05,0.013964687499523494,0.015391104871492232,0.006008391743460566,0.006839289226993059,0.0018286573529554427,0.07150146805658575,0.0008776560480959263,5.0904233185215914e-05,0.000512494232511962,0.0032116589833329754,0.003650396291682971,0.0004770545951157093,0.0040948312094042745,0.0009872945531446732,0.0049985009970475785,0.03408704426717385,0.0001122818892064829,0.04082165329508835,0.0012417652389984089,0.02670834329121249,0.016565923145120637,0.008450101906974046,0.005448617381202213,0.00012399757446915376,0.009631498172992943,0.018706183876188297,0.0001956694648999552,0.0015762914694216787,0.003564303869358725,0.0012076233420592346,0.00014182466668571597,0.019844807449094344,0.00964212346968583,0.0008949722220478258,0.023195122005061058,0.007995039771804697,0.0004004814908672087,0.06065505563787524,0.0023323789163499182,0.0006123990769025751,0.0019989990694706788,0.0020874351570530675,0.003577160965852361,0.005958723363180088,0.0014673338294218302
Petroleum and coal products,0.02012133023191137,0.0015360998560787758,0.0016832919289938438,0.007716269618291079,0.0014309276186457364,0.0008630088439728727,0.005907708358455922,0.021488384098727654,0.00931977032500952,0.003404071852042964,0.00026606150035185657,0.0009342907670871756,0.003930808578847768,0.012345671024027291,0.011311406634182298,0.005153467241073714,0.04199851887415795,0.0007498001928322947,0.007118396784807416,0.003668044295012696,2.112540024175277e-05,0.00312455105966861,0.002712441256050515,0.00876694955744719,0.0007038958436839001,0.007166966816764253,0.0003705968809742971,0.032162442913974736,0.0588523832691982,0.048107299884761937,0.00014748474949048915,0.028448271243445705,0.0753915131621758,0.005639783925228559,0.0045903415844257296,0.0013265278859231882,0.0011749201150073544,0.022462534759141343,0.005914532092863236,0.005854496746541791,0.0041713996591167795,0.004433873067665909,0.009033179576782931,0.002924548822108987,4.7031813882560994e-05,0.004589277553079628,0.00496353649133415,0.03798926086848875,0.001803409296652025,0.003636790905975929,0.008486576396694218,0.014848266526311988,0.017107176416303473,0.0008847906158820029,0.005194859951329536,0.0011046126685029859,0.02102137545218274,0.041343264941994674,0.0007692697296110071,0.0014135316486923676,0.005861079934346807,0.003188183224006828,0.0028735037533231768,0.0023564686690172396,0.016066563052763532,0.0874514423315114
Air transportation,0.0030615537659104772,0.005365083484896404,0.0036012780965605563,0.001257916130366034,0.005162480601841565,0.000981518567030133,0.0025719109232691753,0.0014361173274710837,0.005158060536158694,0.002232803644228079,7.698888578312833e-05,0.0011946073217128455,0.0014058830007876975,0.00271836718629756,0.002266061080154944,0.0008392571507423568,0.005939180816823054,0.00038505551317403726,0.0009660010311441543,0.001260294244564626,0.0003527166926293763,0.0007677882990963805,0.0019032881642772504,0.001702352443661786,0.002601114777005721,0.007107635382635422,0.0001873237621490869,0.0005088873676409884,0.0010135892430256368,0.004654702587278469,0.0044723994191978615,0.0002695638847109016,0.0040054364774448036,0.008389942246563215,0.0005384494117689822,0.003812927289798049,0.0005397220541593341,0.0003502256271186011,0.00048574506535920773,0.0014806842463340845,0.0013141415762707373,0.002399068088759412,0.003514259793655027,0.003502861237923105,0.00020581263754102582,0.001604354756787558,0.001742455893768342,0.0014700972266778274,0.00041700119096566333,0.0020237874354040613,0.002280622505625102,6.205057044779991e-05,0.0032497779644068683,0.002276804386334586,0.003037901783967989,0.002419791143704785,0.0006902735362017651,0.0004094335024843386,0.0007464859992424113,0.0004893812012732052,0.0066536771099720395,0.00032730439590484097,0.002788835870180452,0.0028300152741154386,0.005896480010407415,0.00031859458374908846
